,Text,Label
29,@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,sarcastic
30,if 2020 was a nose it’d be mine 🐦,sarcastic
31,Would anyone like to give me some money? #FinDom,sarcastic
32,Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,sarcastic
33,Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,sarcastic
34,i wish i could tap in to the government bank account🙄🙄🙄,sarcastic
35,90% of adulthood is just refilling your Brita pitcher.,sarcastic
36,"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",sarcastic
37,Where is the Chancellor? Please check the back of your sofas.,sarcastic
38,going to be running on three hours of sleep at work tonight! so excited!!!,sarcastic
39,"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",sarcastic
40,i’m now reading 4 books at once what could go wrong 🧡,sarcastic
41,"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",sarcastic
42,@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,sarcastic
43,"#murderhornets""",sarcastic
44,"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",sarcastic
45,"#sweatingmyballsoff""",sarcastic
46,we need to normalise having absolutely fried bleach damaged hair. people should talk about this,sarcastic
47,"Wizkid is the king, ok lol",sarcastic
48,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",sarcastic
49,"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",sarcastic
50,@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,sarcastic
51,What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,sarcastic
52,help! i'm being haunted by dead people! (my dissertations),sarcastic
53,my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,sarcastic
54,I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,sarcastic
55,Billy Gunn sorta relevant for the first time in years...,sarcastic
56,wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,sarcastic
57,"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",sarcastic
58,"Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u""",sarcastic
59,considering crowd surfing the next time the hallways are too packed,sarcastic
60,Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,sarcastic
61,You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,sarcastic
62,What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,sarcastic
63,"Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much""",sarcastic
64,"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",sarcastic
65,thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,sarcastic
66,love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,sarcastic
67,i love ingesting poison and then wondering why my tummy is rumbling the next morning,sarcastic
68,Beautician and the Beast (1997). Best Timothy Dalton film of all time.,sarcastic
69,"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",sarcastic
70,fully vaxxed feeling very girlboss,sarcastic
71,I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,sarcastic
72,"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",sarcastic
73,The typhoon flew over me today absolutely fuming they forgot to bomb me,sarcastic
74,love getting assignments at 6:25pm on a Friday!!,sarcastic
75,Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,sarcastic
76,@rits_meg @freedomsenpai hot loli,sarcastic
77,Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,sarcastic
78,Ah gotta love that Friday morning burnt out feeling 🌄,sarcastic
79,@PFTompkins Her family should definitely not seek mental health guidance.  😬,sarcastic
80,"Me: “Wow you’re super observant. Do you have 20/20 vision?”""",sarcastic
81,My work email isn’t working so I can just log off for the day right? 🙄,sarcastic
82,watching olympic womens beach volleyball for the plot,sarcastic
83,there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,sarcastic
84,Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,sarcastic
85,"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",sarcastic
86,how do I get my boyfriend in a maid costume?,sarcastic
87,@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,sarcastic
88,Wtf is a Justin Herbert,sarcastic
89,"""""""He's not welcome in a tolerant place like London"""" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh""",sarcastic
90,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",sarcastic
91,thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,sarcastic
92,2 busy working 2 care,sarcastic
93,Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,sarcastic
94,I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,sarcastic
95,The control button just fell off my laptop. How symbolic for my life.,sarcastic
96,"""make it illegal to say/write """"Dems in disarray"""" on account of it being stupid as fuck""",sarcastic
97,a level tudor history can do one,sarcastic
98,Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,sarcastic
99,ugh I have to send an email??? how about I just quit!!!!!,sarcastic
100,"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",sarcastic
101,went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,sarcastic
102,So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,sarcastic
103,I can't believe today is the last day we can be gay.,sarcastic
104,did you actually fly on a plane if you didn’t post a picture of the view from your window?,sarcastic
105,"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",sarcastic
106,i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,sarcastic
107,it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),sarcastic
108,@igreen95 thx for the play by play,sarcastic
109,who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,sarcastic
110,omg there’s a sheet of ice in front of my school. should I slip and fall?,sarcastic
111,I wish that grilled cheese helped you get that summer bod,sarcastic
112,I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,sarcastic
113,@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,sarcastic
114,"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",sarcastic
115,yeah your girl is fine but does she pass out while giving blood,sarcastic
116,"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",sarcastic
117,Accidentally made a friend in ASL today. I hate when that happens.,sarcastic
118,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",sarcastic
119,Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,sarcastic
120,I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,sarcastic
121,@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,sarcastic
122,Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,sarcastic
123,"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",sarcastic
124,alright I’m ready for some march madness🏀🔥,sarcastic
125,dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,sarcastic
126,wouldn’t it be cool if i could spontaneously combust,sarcastic
127,Efy is great,sarcastic
128,@sonofsama1 @Santandave1 you’re trash,sarcastic
129,cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,sarcastic
130,Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,sarcastic
131,It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,sarcastic
132,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,sarcastic
133,"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",sarcastic
134,wow i love only ever buying gray and striped shirts,sarcastic
135,"""Thank you twitter for deciding to completely reset your list of the """"suggested topics to follow"""" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.""",sarcastic
136,Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,sarcastic
137,"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",sarcastic
138,"my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)""",sarcastic
139,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,sarcastic
140,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",sarcastic
141,"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",sarcastic
142,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,sarcastic
143,"Hey Siri, how do I stop simping?",sarcastic
144,Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,sarcastic
145,Wow Bdubs can bench press 150 kilometers,sarcastic
146,"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",sarcastic
147,@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,sarcastic
148,A wrong impression is once again my specialty,sarcastic
149,if trees would simply stop producing flammable leaves climate change would not be an issue,sarcastic
150,haven’t written in months cuz there are no male teachers to impress 😣,sarcastic
151,when the toilet seat is warmed up for you&gt;&gt;&gt;,sarcastic
152,@PlayStationUK Nice,sarcastic
153,me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌,sarcastic
154,I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,sarcastic
155,Hey what's the weather like today? Am I going to need an umbrella?,sarcastic
156,trying to figure out how to use notion for my anime list. I think i’m dying,sarcastic
157,Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,sarcastic
158,"""""""your pronouns are what's in your pants"""" ok. juicy/dumper""",sarcastic
159,"It’s so amazing how people forget you exist until they want something from you :,)",sarcastic
160,"2. Sarcasm.""",sarcastic
161,How bout you dont use a gazillion filters on your pictures,sarcastic
162,Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,sarcastic
163,@brruhia Nah bruh you just drinking it upside down 😂,sarcastic
164,@PoliticalOrgy I thing you might be on to somethink!🙄,sarcastic
165,"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",sarcastic
166,"""""""You're not a normal white girl"""" lol ok""",sarcastic
167,I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,sarcastic
168,Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,sarcastic
169,“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,sarcastic
170,I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,sarcastic
171,In sunny spain at the moment!!! Hows it all in england?,sarcastic
172,my super power is always biting into the sour cream side of the burrito no matter what,sarcastic
173,if you display your pop funkos in the box then you’re a tory,sarcastic
174,#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,sarcastic
175,"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",sarcastic
176,@kmflett And with a plentiful supply of rhubarb.,sarcastic
177,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,sarcastic
178,wow. i left on time today and the airport connector is all the way backed up. love that,sarcastic
179,maybe i am a cyber bully,sarcastic
180,"""""""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""""""",sarcastic
181,Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,sarcastic
182,day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,sarcastic
183,"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",sarcastic
184,i’ve never had protected sex,sarcastic
185,"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",sarcastic
186,Only yelled at one person while biking home this evening. Improvement!,sarcastic
187,".@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",sarcastic
188,the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,sarcastic
189,I love when I start choking on my water in my 8 person class,sarcastic
190,Whoop diddy scoop poop,sarcastic
191,is it illegal to discriminate against someone on the basis that they have a joker tattoo,sarcastic
192,it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,sarcastic
193,"https://t.co/Px7dYqjh3I""",sarcastic
194,"Well done Henri, cost us the win #nffc",sarcastic
195,I love not being pregnant so much it’s my fave thing about myself,sarcastic
196,"grow up""",sarcastic
197,Big day in the Mumford house #sports day,sarcastic
198,"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",sarcastic
199,Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,sarcastic
200,@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,sarcastic
201,im ollie im 5'8 and i think my 5'7 boyfriend is short,sarcastic
202,"Casual.""",sarcastic
203,wow this growth spurt is really taking longer than i thought haha,sarcastic
204,"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",sarcastic
205,my bf took my off his lock screen which obvi means he’s cheating on me,sarcastic
206,'Margaret Thatcher' is trending... has 2016 taken another one?,sarcastic
207,"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",sarcastic
208,"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",sarcastic
209,Hate this site [CHIRPBIRDICON],sarcastic
210,did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,sarcastic
211,@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,sarcastic
212,I swear this triller event is run by teenagers,sarcastic
213,What kind of sins have y’all been committing for God to punish us with this kinda weather...,sarcastic
214,I’m really looking forward to not hugging my friends and family through choice rather than by law.,sarcastic
215,There is not enough people here #ivoryrooms,sarcastic
216,I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,sarcastic
217,WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,sarcastic
218,"We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously""",sarcastic
219,"""""""I'm concerned about the environmental impact of my contact lenses,"""" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.""",sarcastic
220,Shout out James Boswell  #unibowl,sarcastic
221,I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,sarcastic
222,"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",sarcastic
223,Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,sarcastic
224,Headaches that last all day nonstop🥰😍,sarcastic
225,"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",sarcastic
226,Football is turning into an anatomy lesson. COOL,sarcastic
227,i would kill a man for a forehead kiss rn,sarcastic
228,Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,sarcastic
229,Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,sarcastic
230,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,sarcastic
231,@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,sarcastic
232,"the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.""",sarcastic
233,i went outside today and suddenly my depression is cured,sarcastic
234,Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,sarcastic
235,love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,sarcastic
236,"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",sarcastic
237,My dream is to be left alone.,sarcastic
238,we happy!!!!!!!!!!,sarcastic
239,"first day of work, and i’ve already cried on the job 👍",sarcastic
240,The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,sarcastic
241,"Oh wait.""",sarcastic
242,"how do you think i am 💀""",sarcastic
243,apparently it’s national siblings day? idgaf 💀,sarcastic
244,Worked out 2 days in a row. I am quite literally the epitome of health and fitness,sarcastic
245,yes i have little interest in doing things that applies to me,sarcastic
246,"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",sarcastic
247,"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",sarcastic
248,Don't let people walk all over you. Or breathe on you. Either one.,sarcastic
249,I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,sarcastic
250,@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,sarcastic
251,"""I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout """"get some perspective"""" at every athlete struggling with anxiety will definitely solve their problem.""",sarcastic
252,does ur dad hate you for no reason or are you normal?,sarcastic
253,I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,sarcastic
254,this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,sarcastic
255,Hot dog eating contest as a form of assisted suicide,sarcastic
256,im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot,sarcastic
257,just stuck my entire hand in a hot oven without thinking about the consequences. self preservation is clearly my strong suit,sarcastic
258,Turnover is the best band to cry to/drive to/daydream to/fall asleep to/ reminisce to/die to,sarcastic
259,"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",sarcastic
260,yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),sarcastic
261,everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude 😤🙄 /j,sarcastic
262,Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today,sarcastic
263,every date I go on I get a little scared will be phone swap,sarcastic
264,Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee,sarcastic
265,"The Newell’s old boys network.""",sarcastic
266,"Damn it, skin! What did I ever do to you?!?!""",sarcastic
267,"“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin’",sarcastic
268,@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her,sarcastic
269,was not aware that Crocs were appropriate business casual attire.,sarcastic
270,"This is for research purposes.""",sarcastic
271,"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",sarcastic
272,@kidcuisine98 Based confidence and believing in proper eye contact-pilled!,sarcastic
273,Replace Pelosi #Nancy,sarcastic
274,"oh sure, the mic’d up pitcher at the MLB all-star game can say “god dammit” but when my 13 year old softball player says it she gets a “language warning” 😂",sarcastic
275,@SrutisJay one of them smonks weed so it's super worth it /s,sarcastic
276,@Dancruz07 Sureeeeeee you do,sarcastic
277,"Bart is closed rn in Oakland so I can’t go to work, I’m so upset....",sarcastic
278,Just redownloaded the @achievement app - let's see if it improves my exercise routine!,sarcastic
279,"ah yes, of the course the summer rain pours when im on foot.",sarcastic
280,Keanu reeves is killing his role in ozark season 3,sarcastic
281,getting stopped by tesco security is the highlight of my day,sarcastic
282,My coworkers play this fun game where they try to describe bars in la crosse &amp; have me guess which one they’re talking about,sarcastic
283,The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,sarcastic
284,"@traves whoa! that's a little too crazy man, slow down",sarcastic
285,"Wow. Liam Neeson is coming across as a rational man,isn't he!!?",sarcastic
286,"No joke, air-fried Twisted Teas are THE BEST.",sarcastic
287,"It’s almost like…. our culture is toxic 🤔""",sarcastic
288,It would be nice if my body would let me sleep...,sarcastic
289,"@Mythical So worried about him. But if you're looking to save him, based on the topography I'd say it's somewhere on the east coast. Perhaps the Carolinas?",sarcastic
290,All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @DearEvanHansen movie  boggles me.  Does nobody have any memories of Grease???  Name 1 actor on that film who believably looked high school age!,sarcastic
291,Perfect way to end a 2+ hour @SunCountryAir deley: getting stuck on the tarmack at @mspairport waiting to go to a gate for almost an hour 🙄,sarcastic
292,"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",sarcastic
293,it's too bad i forgot how to play my clarinet so close to my recital,sarcastic
294,"🤮 https://t.co/cibY5Tn9s6""",sarcastic
295,@goldfishbabe101 crispy all day every day over here ✌🏻,sarcastic
296,@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!,sarcastic
297,Putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty,sarcastic
298,"Any upbeat energy and people get upset at ya""",sarcastic
299,@avsmph But how can we possibly deal with a human experience we haven't first relentlessly quantified???,sarcastic
300,"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.",sarcastic
301,It's soooo great that I've taken pain medication and my back is still hurting 😩😩😩😩😩😩,sarcastic
302,Turned 25 today but woke up with $600 from the IRS in my bank account so quarter life crisis has been postponed,sarcastic
303,Only a a President as strong and decisive as @realDonaldTrump would force the FDA to OK a drug even before clinical trial results are in.  No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! #OkToTry #Gotrump https://t.co/IdxTJ7kucp,sarcastic
304,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,sarcastic
305,also that jacket he wore yesterday i’m gonna rip my eyes out :/,sarcastic
306,"@kagune_kun despicable tweet, my liege",sarcastic
307,Lovely day to be stuck at the mall with a dead battery.,sarcastic
308,"So now that it's not getting banned, should I download TikTok?",sarcastic
309,"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",sarcastic
310,I just love when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,sarcastic
311,somebody tell these birds to be quiet because they not listening to me,sarcastic
312,this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,sarcastic
313,every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,sarcastic
